order_id,order_date,product,category,region,quantity,unit_price,sales_amount,customer_id
ORD-0001,2023-11-24,Laptop,Electronics,East,4,230.98,923.92,CUST-0147
ORD-0002,2023-02-22,Monitor,Electronics,North,1,102.76,102.76,CUST-0114
ORD-0003,2023-09-16,Smartphone,Electronics,West,4,454.72,1818.88,CUST-0117
ORD-0004,2023-01-04,Sofa,Furniture,East,5,163.92,819.6,CUST-0148
ORD-0005,2023-06-22,Laptop,Electronics,West,2,365.39,730.78,CUST-0122
ORD-0006,2023-11-06,Pens,Office Supplies,West,9,133.58,1202.22,CUST-0124
ORD-0007,2023-02-10,Paper,Office Supplies,South,2 ,55.37,110.74,CUST-0114
ORD-0008,2023-05-29,Smartphone,Electronics,North,7,285.19,1996.33,CUST-0140
ORD-0009,2023-07-06,Bookshelf,Furniture,East,4,673.47,2693.88,CUST-0144
ORD-0010,2023-12-16,Smartphone,Electronics,South,3,467.64,1402.92,CUST-0117
ORD-0011,2023-11-24,Bookshelf,Furniture,North,4,823.58,3294.32,CUST-0120
ORD-0012,2023-07-25,Pens,Office Supplies,South,10,877.6,8776.0,CUST-0120
ORD-0013,2023-04-19,Webcam,Accessories,West,3,272.23,816.69,CUST-0115
ORD-0014,2023-10-15,Stapler,Office Supplies,West,6,227.13,1362.78,CUST-0108
ORD-0015,2023-09-18,Mouse,Accessories,North,2,161.31,322.62,CUST-0110
ORD-0016,2023-12-15,Mouse,Accessories,West,7,599.93,4199.51,CUST-0129
ORD-0017,2023-09-28,Pens,Office Supplies,,9,753.37,6780.33,CUST-0149
ORD-0018,2023-11-25,Pens,Office Supplies,East,7,166.58,1166.06,CUST-0100
ORD-0019,2023-05-15,,Furniture,East,9,612.88,5515.92,CUST-0109
ORD-0020,2023-07-11,Desk,Furniture,East,8,29.28,234.24,CUST-0123
ORD-0021,2023-06-07,Desk,Furniture,South,10,947.48,9474.8,CUST-0105
ORD-0022,2023-09-06,Smartphone,Electronics,South,8,947.38,7579.04,CUST-0110
ORD-0023,2023-05-16,,Accessories,South,5,405.0,2025.0,CUST-0142
ORD-0024,2023-11-29,Stapler,Office Supplies,West,2,255.43,510.86,CUST-0104
ORD-0025,2023-06-23,Smartphone,Electronics,South,1,80.28,80.28,CUST-0140
ORD-0026,2023-01-31,Desk,Furniture,North,6,80.15,480.9,CUST-0115
ORD-0027,2023-05-23,Keyboard,Accessories,South,10,580.45,5804.5,CUST-0115
ORD-0028,2023-08-31,Keyboard,Accessories,North,2,662.39,1324.78,CUST-0122
ORD-0029,2023-08-05,Webcam,Accessories,North,2,70.01,140.02,CUST-0146
ORD-0030,2023-06-23,Smartphone,Electronics,South,4,540.92,2163.68,CUST-0108
